65.7, 20.1
61.7, 24.1
38.6, 24.8
44.4, 24.8
57.0, 24.8
41.5, 26.1
46.8, 27.0
65.6, 29.1
44.9, 30.0
41.5, 31.2
64.2, 32.2
47.3, 32.4
56.5, 32.7
48.8, 33.6
65.8, 34.5
54.4, 35.0
63.3, 35.0
47.1, 36.1
37.6, 37.2
48.6, 37.2
40.0, 39.3
54.6, 40.7
66.6, 40.9
64.6, 41.2
47.7, 42.3
44.9, 42.9
70.5, 42.9
60.0, 43.6
62.8, 43.6
49.8, 44.3
55.5, 44.3
71.6, 47.4
44.4, 47.5
71.5, 50.0
56.6, 50.1
59.9, 50.9
46.3, 51.0
41.0, 53.2
33.3, 55.4
36.2, 55.9
31.4, 58.2
63.8, 58.2
55.9, 58.8
36.6, 60.2
50.8, 60.6
45.5, 61.1
40.4, 61.2
33.8, 61.7
35.3, 64.6
39.1, 66.8
41.0, 66.8
37.3, 73.4
46.8, 73.9
29.8, 74.8
40.1, 76.8
57.0, 89.9
